#otu,P1-1,P1-2,P1-3,P2-1,P2-2,P2-3,P3-1,P3-2,P3-3
1108359,0,0,0,5,0,0,0,0,0
448625,0,0,0,0,0,0,0,0,5
1745532,0,4,0,0,0,0,0,0,0
2599729,0,4,0,0,0,0,0,0,0
260011,0,4,0,0,0,0,0,0,0
1111008,0,4,0,0,0,0,0,0,0
3328103,0,0,4,0,0,0,0,0,0
3412839,0,0,4,0,0,0,0,0,0
1148014,0,0,0,0,4,0,0,0,0
147271,0,0,0,0,4,0,0,0,0
102183,0,0,0,0,4,0,0,0,0
344556,0,0,0,0,0,0,0,4,0
587743,0,0,0,0,0,0,0,4,0
235795,0,0,0,0,0,0,0,0,4
1631794,3,0,0,0,0,0,0,0,0
3136705,0,3,0,0,0,0,0,0,0
812608,0,3,0,0,0,0,0,0,0
823502,0,0,3,0,0,0,0,0,0
4097115,0,0,3,0,0,0,0,0,0
2573530,0,0,0,3,0,0,0,0,0
3015108,0,0,0,0,3,0,0,0,0
2962876,0,0,0,0,3,0,0,0,0
171789,0,0,0,0,0,0,0,0,3
642096,0,0,0,0,0,0,0,0,3
617118,2,0,0,0,0,0,0,0,0
274239,0,0,0,2,0,0,0,0,0
3845272,0,0,0,0,2,0,0,0,0
803075,0,0,0,0,2,0,0,0,0
553615,0,0,0,0,0,2,0,0,0
2920450,0,0,0,0,0,0,2,0,0
2073916,0,0,0,0,0,0,0,0,2
140588,0,0,0,0,0,0,0,0,2
f63ff58b8a81b393cd63260c38a1c764,166,810,213,232,370,0,0,888,0
4cfab6c15b74addedd1dc31fb297d494,438,308,169,753,274,0,864,240,0
cc5f409e5184384ba7f8e18fa2ec7854,281,831,328,303,0,0,205,511,0
ff5e4bb058715c2c8c735cf95f9f5e0f,0,0,0,0,0,0,25,0,825
7a4e494fdd2f32e0252e261cd0011b40,0,85,33,0,19,0,49,0,922
122857638477afa563c26479c30186b5,121,493,346,0,0,226,0,0,0
bc9b1ec7c4899e3876ce78e47aeee117,0,0,452,0,0,0,0,0,0
93b7e8509138ba28d0377eefb4c3fe40,0,0,406,0,0,0,0,0,0
57345254b517e3239c7de90335919802,0,372,0,0,0,0,0,0,0
b4925fd2e1ed7d20769897b4f27434fe,0,370,146,0,0,0,0,0,0
b15d2e00d133f20e2fb43e35c208d349,0,0,362,0,0,0,0,0,0
